player_id,player,team,year,squad,number,positions,pos_en,legend,overall,PAC,SHO,PAS,DRI,DEF,PHY,GK,enriched
noronha,Noronha,BRA,1950,BRA-1950-f7784c0b,0,VOL,DM,False,76,66,55,72,64,75,72,44,template
rodrigues-1950,Rodrigues,BRA,1950,BRA-1950-f7784c0b,0,CA/PD,ST/RW,False,74,72,74,65,70,47,71,42,template
adaozinho,Adãozinho,BRA,1950,BRA-1950-f7784c0b,0,CA/PD,ST/RW,False,74,72,74,65,70,47,71,42,template
alfredo-ramos,Alfredo,BRA,1950,BRA-1950-f7784c0b,0,CA,ST,False,73,71,73,65,69,47,70,41,template
juvenal-nena,Nena,BRA,1950,BRA-1950-f7784c0b,0,ZAG/LD,CB/RB,False,74,67,48,65,57,74,73,42,template
rui-campos,Rui,BRA,1950,BRA-1950-f7784c0b,0,MC/MEI,CM/AM,False,74,67,61,73,69,66,65,42,template
ely-do-amparo,Ely,BRA,1950,BRA-1950-f7784c0b,0,VOL/ZAG,DM/CB,False,74,65,54,71,63,73,70,42,template
giuseppe-moro,Moro,ITA,1950,ITA-1950-e7f51af6,0,GOL,GK,False,78,48,48,48,48,48,70,78,GK
lucidio-sentimenti,Sentimenti IV,ITA,1950,ITA-1950-e7f51af6,0,GOL,GK,False,79,48,48,48,48,48,71,79,GK
giuseppe-casari,Casari,ITA,1950,ITA-1950-e7f51af6,0,GOL,GK,False,74,48,48,48,48,48,66,74,GK
emilio-caprile,Caprile,ITA,1950,ITA-1950-e7f51af6,0,GOL,GK,False,72,48,48,48,48,48,64,72,GK
ivano-blason,Blason,ITA,1950,ITA-1950-e7f51af6,0,ZAG/LD,CB/RB,False,77,69,49,67,58,77,76,45,template
carlo-parola,Parola,ITA,1950,ITA-1950-e7f51af6,0,ZAG,CB,True,86,74,51,72,61,85,84,54,template
attilio-giovannini,Giovannini,ITA,1950,ITA-1950-e7f51af6,0,LD/ZAG,RB/CB,False,76,74,55,69,68,72,66,44,template
zeffiro-furiassi,Furiassi,ITA,1950,ITA-1950-e7f51af6,0,LE/ZAG,LB/CB,False,73,72,54,67,66,70,64,41,template
osvaldo-fattori,Fattori,ITA,1950,ITA-1950-e7f51af6,0,LE/MD,LB/RM,False,74,72,54,68,66,70,65,42,template
carlo-annovazzi,Annovazzi,ITA,1950,ITA-1950-e7f51af6,0,MD/MC/MEI,RM/CM/AM,False,80,77,66,73,76,64,66,48,template
aldo-campatelli,Campatelli,ITA,1950,ITA-1950-e7f51af6,0,MD/VOL,RM/DM,False,77,74,64,71,74,62,64,45,template
giacomo-mari,Mari,ITA,1950,ITA-1950-e7f51af6,0,MD/MC/MEI,RM/CM/AM,False,76,73,64,71,73,62,64,44,template
leandro-remondini,Remondini,ITA,1950,ITA-1950-e7f51af6,0,VOL/MC/MD,DM/CM/RM,False,73,64,54,70,62,72,69,41,template
augusto-magli,Magli,ITA,1950,ITA-1950-e7f51af6,0,VOL/MC/MEI/MD,DM/CM/AM/RM,False,75,66,55,72,64,74,71,43,template
egisto-pandolfini,Pandolfini,ITA,1950,ITA-1950-e7f51af6,0,MC/MEI,CM/AM,False,80,70,64,79,73,70,68,48,template
riccardo-carapellese,Carapellese,ITA,1950,ITA-1950-e7f51af6,0,PE/CA,LW/ST,False,82,81,75,72,81,54,66,50,template
amedeo-amadei,Amadei,ITA,1950,ITA-1950-e7f51af6,0,CA/MEI,ST/AM,True,84,80,83,71,77,48,78,52,template
giampiero-boniperti,Boniperti,ITA,1950,ITA-1950-e7f51af6,0,CA/PD,ST/RW,True,85,80,84,72,78,48,79,53,template
benito-lorenzi,Lorenzi,ITA,1950,ITA-1950-e7f51af6,0,CA/PD,ST/RW,False,81,77,80,69,75,48,76,49,template
gino-cappello,Cappello,ITA,1950,ITA-1950-e7f51af6,0,PD/ME,RW/LM,False,80,79,73,71,79,54,65,48,template
ermes-muccinelli,Muccinelli,ITA,1950,ITA-1950-e7f51af6,0,PD/ME,RW/LM,False,76,75,71,68,75,53,63,44,template
omero-tognon,Tognon,ITA,1950,ITA-1950-e7f51af6,0,VOL/MC/MD,DM/CM/RM,False,74,65,54,71,63,73,70,42,template
ignacio-eizaguirre,Eizaguirre,ESP,1950,ESP-1950-37ae195f,0,GOL,GK,False,82,48,48,48,48,48,74,82,GK
antoni-ramallets,Ramallets,ESP,1950,ESP-1950-37ae195f,0,GOL,GK,True,84,48,48,48,48,48,76,84,GK
juan-acuna,Acuña,ESP,1950,ESP-1950-37ae195f,0,GOL,GK,False,75,48,48,48,48,48,67,75,GK
gabriel-alonso,Alonso,ESP,1950,ESP-1950-37ae195f,0,ZAG/LD,CB/RB,False,78,69,49,67,58,78,77,46,template
francisco-antunez,Antúnez,ESP,1950,ESP-1950-37ae195f,0,LD/ZAG,RB/CB,False,78,76,56,70,69,74,67,46,template
vicente-asensi,Asensi,ESP,1950,ESP-1950-37ae195f,0,VOL/ZAG/MD,DM/CB/RM,False,77,67,55,73,64,76,72,45,template
josep-gonzalvo,J. Gonzalvo,ESP,1950,ESP-1950-37ae195f,0,VOL/ZAG/MD,DM/CB/RM,False,78,67,56,74,65,77,73,46,template
rafael-lesmes,Lesmes,ESP,1950,ESP-1950-37ae195f,0,LE/ZAG,LB/CB,False,74,72,54,68,66,70,65,42,template
jose-parra,Parra,ESP,1950,ESP-1950-37ae195f,0,ZAG/LD,CB/RB,False,74,67,48,65,57,74,73,42,template
maria-gonzalvo,M. Gonzalvo,ESP,1950,ESP-1950-37ae195f,0,VOL/MC/MEI/MD,DM/CM/AM/RM,False,82,69,57,77,67,80,76,50,template
antonio-puchades,Puchades,ESP,1950,ESP-1950-37ae195f,0,VOL,DM,True,85,71,58,80,68,83,78,53,template
jose-luis-panizo,Panizo,ESP,1950,ESP-1950-37ae195f,0,MC/MEI,CM/AM,False,81,71,64,80,74,71,69,49,template
luis-molowny,Molowny,ESP,1950,ESP-1950-37ae195f,0,MC/MEI,CM/AM,False,79,70,63,78,73,69,68,47,template
fernando-gonzalez-nando,Nando,ESP,1950,ESP-1950-37ae195f,0,VOL/MC/MEI/MD,DM/CM/AM/RM,False,76,66,55,72,64,75,72,44,template
alfonso-silva,Silva,ESP,1950,ESP-1950-37ae195f,0,MC/MEI,CM/AM,False,78,69,63,77,72,69,67,46,template
estanislau-basora,Basora,ESP,1950,ESP-1950-37ae195f,0,PD,RW,True,84,83,76,73,83,55,66,52,template
agustin-gainza,Gaínza,ESP,1950,ESP-1950-37ae195f,0,PE,LW,True,84,83,76,73,83,55,66,52,template
telmo-zarra,Zarra,ESP,1950,ESP-1950-37ae195f,0,CA,ST,True,88,83,87,73,80,49,81,56,template
cesar-rodriguez,César,ESP,1950,ESP-1950-37ae195f,0,CA,ST,False,83,79,82,70,77,48,77,51,template
silvestre-igoa,Igoa,ESP,1950,ESP-1950-37ae195f,0,CA/MEI,ST/AM,False,78,75,78,68,73,47,74,46,template
jose-juncosa,Juncosa,ESP,1950,ESP-1950-37ae195f,0,PD/CA,RW/ST,False,76,75,71,68,75,53,63,44,template
rosendo-hernandez,Hernández,ESP,1950,ESP-1950-37ae195f,0,CA,ST,False,73,71,73,65,69,47,70,41,template
antonio-carbajal,Carbajal,MEX,1950,MEX-1950-34bf1476,0,GOL,GK,True,82,48,48,48,48,48,74,82,GK
raul-cordoba,Córdoba,MEX,1950,MEX-1950-34bf1476,0,GOL,GK,False,77,48,48,48,48,48,69,77,GK
gregorio-gomez,G. Gómez,MEX,1950,MEX-1950-34bf1476,0,LD/ZAG,RB/CB,False,75,73,55,68,67,71,66,43,template
manuel-gutierrez,Gutiérrez,MEX,1950,MEX-1950-34bf1476,0,ZAG,CB,False,76,68,49,66,58,76,75,44,template
alfonso-montemayor,Montemayor,MEX,1950,MEX-1950-34bf1476,0,ZAG,CB,False,75,67,49,66,57,75,74,43,template
jose-antonio-roca,Roca,MEX,1950,MEX-1950-34bf1476,0,ZAG/LD,CB/RB,False,74,67,48,65,57,74,73,42,template
rodrigo-ruiz,Ruiz,MEX,1950,MEX-1950-34bf1476,0,LE/ZAG,LB/CB,False,73,72,54,67,66,70,64,41,template
felipe-zetter,Zetter,MEX,1950,MEX-1950-34bf1476,0,ZAG,CB,False,78,69,49,67,58,78,77,46,template
antonio-flores,Flores,MEX,1950,MEX-1950-34bf1476,0,MC/MEI,CM/AM,False,76,68,62,75,71,68,66,44,template
mario-ochoa,Ochoa,MEX,1950,MEX-1950-34bf1476,0,MC/MEI,CM/AM,False,75,67,61,74,70,67,66,43,template
hector-ortiz,Ortiz,MEX,1950,MEX-1950-34bf1476,0,VOL,DM,False,74,65,54,71,63,73,70,42,template
carlos-guevara,Guevara,MEX,1950,MEX-1950-34bf1476,0,MC/MEI,CM/AM,False,73,66,60,72,68,66,64,41,template
francisco-hernandez,F. Hernández,MEX,1950,MEX-1950-34bf1476,0,MD/MC/MEI,RM/CM/AM,False,72,70,62,68,70,60,62,40,template
samuel-cuburu,Cuburu,MEX,1950,MEX-1950-34bf1476,0,MC/MEI,CM/AM,False,72,66,60,72,68,65,64,40,template
mario-perez,M. Pérez,MEX,1950,MEX-1950-34bf1476,0,MC/MEI,CM/AM,False,71,65,59,71,67,65,63,40,template
horacio-casarin,Casarín,MEX,1950,MEX-1950-34bf1476,0,CA/MEI,ST/AM,True,82,78,81,70,76,48,76,50,template
jose-naranjo,Naranjo,MEX,1950,MEX-1950-34bf1476,0,PD/CA,RW/ST,False,76,75,71,68,75,53,63,44,template
jose-velazquez,Velázquez,MEX,1950,MEX-1950-34bf1476,0,CA,ST,False,75,72,75,66,71,47,71,43,template
carlos-septien,Septién,MEX,1950,MEX-1950-34bf1476,0,PE/CA,LW/ST,False,74,73,69,67,73,52,62,42,template
jose-luis-borbolla,Borbolla,MEX,1950,MEX-1950-34bf1476,0,CA,ST,False,73,71,73,65,69,47,70,41,template
leonardo-navarro,Navarro,MEX,1950,MEX-1950-34bf1476,0,PD/CA,RW/ST,False,72,72,68,66,72,52,61,40,template
max-prieto,Prieto,MEX,1950,MEX-1950-34bf1476,0,PE/CA,LW/ST,False,71,71,67,65,71,52,61,40,template
sergio-livingstone,Livingstone,CHI,1950,CHI-1950-4d5ff96e,0,GOL,GK,True,82,48,48,48,48,48,74,82,GK
rene-quitral,Quitral,CHI,1950,CHI-1950-4d5ff96e,0,GOL,GK,False,72,48,48,48,48,48,64,72,GK
manuel-alvarez-chi,M. Álvarez,CHI,1950,CHI-1950-4d5ff96e,0,ZAG/LD,CB/RB,False,74,67,48,65,57,74,73,42,template
arturo-farias,Farías,CHI,1950,CHI-1950-4d5ff96e,0,ZAG/LE,CB/LB,False,74,67,48,65,57,74,73,42,template
miguel-flores-chi,Flores,CHI,1950,CHI-1950-4d5ff96e,0,ZAG,CB,False,73,66,48,64,57,73,72,41,template
manuel-machuca,Machuca,CHI,1950,CHI-1950-4d5ff96e,0,LD/ZAG,RB/CB,False,74,72,54,68,66,70,65,42,template
fernando-roldan,Roldán,CHI,1950,CHI-1950-4d5ff96e,0,LE/ZAG,LB/CB,False,73,72,54,67,66,70,64,41,template
francisco-urroz,Urroz,CHI,1950,CHI-1950-4d5ff96e,0,VOL/ZAG/MD,DM/CB/RM,False,73,64,54,70,62,72,69,41,template
miguel-busquets,Busquets,CHI,1950,CHI-1950-4d5ff96e,0,MD/VOL,RM/DM,False,77,74,64,71,74,62,64,45,template
fernando-campos,Campos,CHI,1950,CHI-1950-4d5ff96e,0,VOL/MC/MEI/MD,DM/CM/AM/RM,False,75,66,55,72,64,74,71,43,template
hernan-carvallo,Carvallo,CHI,1950,CHI-1950-4d5ff96e,0,MC/MEI,CM/AM,False,74,67,61,73,69,66,65,42,template
carlos-rojas-chi,C. Rojas,CHI,1950,CHI-1950-4d5ff96e,0,MD/VOL,RM/DM,False,73,71,62,68,71,60,62,41,template
osvaldo-saez,Sáez,CHI,1950,CHI-1950-4d5ff96e,0,MEI/ME,AM/LM,False,73,68,66,72,72,54,59,41,template
george-robledo,Robledo,CHI,1950,CHI-1950-4d5ff96e,0,CA/MEI,ST/AM,True,84,80,83,71,77,48,78,52,template
atilio-cremaschi,Cremaschi,CHI,1950,CHI-1950-4d5ff96e,0,CA/MEI,ST/AM,False,80,76,80,69,74,48,75,48,template
fernando-riera,Riera,CHI,1950,CHI-1950-4d5ff96e,0,CA/PD,ST/RW,True,79,76,79,68,74,48,74,47,template
manuel-munoz-chi,M. Muñoz,CHI,1950,CHI-1950-4d5ff96e,0,CA,ST,False,77,74,77,67,72,47,73,45,template
raimundo-infante,Infante,CHI,1950,CHI-1950-4d5ff96e,0,CA/PE,ST/LW,False,75,72,75,66,71,47,71,43,template
luis-mayanes,Mayanés,CHI,1950,CHI-1950-4d5ff96e,0,PE/ME,LW/LM,False,74,73,69,67,73,52,62,42,template
carlos-ibanez-chi,Ibáñez,CHI,1950,CHI-1950-4d5ff96e,0,PD/PE,RW/LW,False,74,73,69,67,73,52,62,42,template
andres-prieto,Prieto,CHI,1950,CHI-1950-4d5ff96e,0,PD/CA,RW/ST,False,72,72,68,66,72,52,61,40,template
guillermo-diaz-chi,G. Díaz,CHI,1950,CHI-1950-4d5ff96e,0,PE/CA,LW/ST,False,71,71,67,65,71,52,61,40,template
pablo-centurion,Centurión,PAR,1950,PAR-1950-7584d619,0,GOL,GK,False,75,48,48,48,48,48,67,75,GK
marcelino-vargas,Vargas,PAR,1950,PAR-1950-7584d619,0,GOL,GK,False,72,48,48,48,48,48,64,72,GK
antonio-cabrera,Cabrera,PAR,1950,PAR-1950-7584d619,0,ZAG/LD,CB/RB,False,76,68,49,66,58,76,75,44,template
manuel-gavilan,Gavilán,PAR,1950,PAR-1950-7584d619,0,ZAG,CB,False,76,68,49,66,58,76,75,44,template
casiano-cespedes,Céspedes,PAR,1950,PAR-1950-7584d619,0,ZAG/LE,CB/LB,False,74,67,48,65,57,74,73,42,template
alberto-gonzalez,A. González,PAR,1950,PAR-1950-7584d619,0,ZAG/LD,CB/RB,False,73,66,48,64,57,73,72,41,template
elioro-paredes,Paredes,PAR,1950,PAR-1950-7584d619,0,LE/ZAG,LB/CB,False,72,71,54,66,65,69,64,40,template
castor-cantero,Cantero,PAR,1950,PAR-1950-7584d619,0,MD/VOL,RM/DM,False,78,75,65,72,75,63,65,46,template
victoriano-leguizamon,Leguizamón,PAR,1950,PAR-1950-7584d619,0,MD/MC/MEI,RM/CM/AM,False,76,73,64,71,73,62,64,44,template
melanio-baez,Báez,PAR,1950,PAR-1950-7584d619,0,VOL/MC/MEI/MD,DM/CM/AM/RM,False,74,65,54,71,63,73,70,42,template
armando-gonzalez,Ar. González,PAR,1950,PAR-1950-7584d619,0,MC/MEI,CM/AM,False,72,66,60,72,68,65,64,40,template
atilio-lopez,A. López,PAR,1950,PAR-1950-7584d619,0,CA/PD,ST/RW,False,80,76,80,69,74,48,75,48,template
cesar-lopez-fretes,López Fretes,PAR,1950,PAR-1950-7584d619,0,MEI/CA,AM/ST,False,78,71,69,77,76,56,61,46,template
juan-canete,Cañete,PAR,1950,PAR-1950-7584d619,0,CA/PE,ST/LW,False,75,72,75,66,71,47,71,43,template
francisco-sosa,Sosa,PAR,1950,PAR-1950-7584d619,0,CA,ST,False,74,72,74,65,70,47,71,42,template
enrique-avalos,E. Avalos,PAR,1950,PAR-1950-7584d619,0,PD/CA,RW/ST,False,73,72,68,67,72,52,61,41,template
marcial-avalos,M. Avalos,PAR,1950,PAR-1950-7584d619,0,PE/CA,LW/ST,False,73,72,68,67,72,52,61,41,template
lorenzo-calonga,Calonga,PAR,1950,PAR-1950-7584d619,0,PD/PE,RW/LW,False,72,72,68,66,72,52,61,40,template
dario-jara-saguier,Jara Saguier,PAR,1950,PAR-1950-7584d619,0,CA/PE,ST/LW,False,73,71,73,65,69,47,70,41,template
leongino-unzaim,Unzaim,PAR,1950,PAR-1950-7584d619,0,CA,ST,False,71,69,71,64,68,46,68,40,template
hilarion-osorio,Osorio,PAR,1950,PAR-1950-7584d619,0,PE/CA,LW/ST,False,70,70,66,65,70,51,60,40,template
angel-berni,Berni,PAR,1950,PAR-1950-7584d619,0,CA/PD,ST/RW,False,70,68,70,63,67,46,68,40,template
bert-williams,B. Williams,ENG,1950,ENG-1950-bd1e7a8a,0,GOL,GK,False,83,48,48,48,48,48,75,83,GK
ted-ditchburn,Ditchburn,ENG,1950,ENG-1950-bd1e7a8a,0,GOL,GK,False,78,48,48,48,48,48,70,78,GK
alf-ramsey,Ramsey,ENG,1950,ENG-1950-bd1e7a8a,0,LD,RB,True,82,79,57,73,71,76,69,50,template
laurie-scott,Scott,ENG,1950,ENG-1950-bd1e7a8a,0,LD,RB,False,77,75,55,70,68,73,67,45,template
john-aston-sr,Aston,ENG,1950,ENG-1950-bd1e7a8a,0,LE,LB,False,78,76,56,70,69,74,67,46,template
bill-eckersley,Eckersley,ENG,1950,ENG-1950-bd1e7a8a,0,LE,LB,False,74,72,54,68,66,70,65,42,template
laurie-hughes,Hughes,ENG,1950,ENG-1950-bd1e7a8a,0,ZAG,CB,False,76,68,49,66,58,76,75,44,template
jim-taylor,Taylor,ENG,1950,ENG-1950-bd1e7a8a,0,ZAG,CB,False,75,67,49,66,57,75,74,43,template
billy-wright,Wright,ENG,1950,ENG-1950-bd1e7a8a,0,VOL/MD/ZAG,DM/RM/CB,True,88,73,59,82,70,86,80,56,template
henry-cockburn,Cockburn,ENG,1950,ENG-1950-bd1e7a8a,0,VOL/MC/MD,DM/CM/RM,False,79,68,56,75,66,78,74,47,template
jimmy-dickinson,Dickinson,ENG,1950,ENG-1950-bd1e7a8a,0,VOL/MC/MD,DM/CM/RM,False,80,68,56,76,66,79,74,48,template
bill-nicholson,Nicholson,ENG,1950,ENG-1950-bd1e7a8a,0,VOL/MC/MD,DM/CM/RM,False,76,66,55,72,64,75,72,44,template
willie-watson,Watson,ENG,1950,ENG-1950-bd1e7a8a,0,VOL/MC/MD,DM/CM/RM,False,76,66,55,72,64,75,72,44,template
wilf-mannion,Mannion,ENG,1950,ENG-1950-bd1e7a8a,0,MC/MEI,CM/AM,False,85,73,66,83,77,73,71,53,template
eddie-baily,Baily,ENG,1950,ENG-1950-bd1e7a8a,0,MC/MEI,CM/AM,False,76,68,62,75,71,68,66,44,template
stanley-matthews,Matthews,ENG,1950,ENG-1950-bd1e7a8a,0,PD,RW,True,94,92,83,80,92,57,71,62,template
tom-finney,Finney,ENG,1950,ENG-1950-bd1e7a8a,0,PD/PE,RW/LW,True,92,90,82,78,90,57,70,60,template
jimmy-mullen,Mullen,ENG,1950,ENG-1950-bd1e7a8a,0,PE,LW,False,78,77,72,70,77,53,64,46,template
stan-mortensen,Mortensen,ENG,1950,ENG-1950-bd1e7a8a,0,CA,ST,False,85,80,84,72,78,48,79,53,template
jackie-milburn,Milburn,ENG,1950,ENG-1950-bd1e7a8a,0,CA,ST,False,84,80,83,71,77,48,78,52,template
roy-bentley,Bentley,ENG,1950,ENG-1950-bd1e7a8a,0,CA,ST,False,80,76,80,69,74,48,75,48,template
georges-stuber,Stuber,SUI,1950,SUI-1950-927eba0f,0,GOL,GK,False,75,48,48,48,48,48,67,75,GK
eugen-corrodi,Corrodi,SUI,1950,SUI-1950-927eba0f,0,GOL,GK,False,73,48,48,48,48,48,65,73,GK
adolphe-hug,Hug,SUI,1950,SUI-1950-927eba0f,0,GOL,GK,False,70,48,48,48,48,48,62,70,GK
willi-steffen,Steffen,SUI,1950,SUI-1950-927eba0f,0,LE/ZAG,LB/CB,False,80,78,56,72,70,75,68,48,template
roger-bocquet,Bocquet,SUI,1950,SUI-1950-927eba0f,0,ZAG,CB,False,79,70,49,68,59,79,77,47,template
rudolf-gyger,Gyger,SUI,1950,SUI-1950-927eba0f,0,LD/ZAG,RB/CB,False,77,75,55,70,68,73,67,45,template
andre-neury,Neury,SUI,1950,SUI-1950-927eba0f,0,ZAG/LE,CB/LB,False,75,67,49,66,57,75,74,43,template
willy-kernen,Kernen,SUI,1950,SUI-1950-927eba0f,0,LE/ZAG,LB/CB,False,73,72,54,67,66,70,64,41,template
kurt-rey,Rey,SUI,1950,SUI-1950-927eba0f,0,ZAG,CB,False,70,64,48,63,56,70,70,40,template
oliver-eggimann,Eggimann,SUI,1950,SUI-1950-927eba0f,0,VOL/MC/MEI/MD,DM/CM/AM/RM,False,78,67,56,74,65,77,73,46,template
roger-quinche,Quinche,SUI,1950,SUI-1950-927eba0f,0,MC/MEI,CM/AM,False,74,67,61,73,69,66,65,42,template
robert-hasler,Hasler,SUI,1950,SUI-1950-927eba0f,0,MC/MEI,CM/AM,False,71,65,59,71,67,65,63,40,template
alfred-bickel,Bickel,SUI,1950,SUI-1950-927eba0f,0,MEI/CA,AM/ST,True,84,75,72,83,82,57,64,52,template
jacques-fatton,Fatton,SUI,1950,SUI-1950-927eba0f,0,PE/CA,LW/ST,False,83,82,76,73,82,54,66,51,template
charles-antenen,Antenen,SUI,1950,SUI-1950-927eba0f,0,PD/CA,RW/ST,False,81,80,74,72,80,54,65,49,template
jean-tamini,Tamini,SUI,1950,SUI-1950-927eba0f,0,CA,ST,False,78,75,78,68,73,47,74,46,template
rene-bader,Bader,SUI,1950,SUI-1950-927eba0f,0,CA/MEI,ST/AM,False,76,73,76,67,72,47,72,44,template
hans-peter-friedlander,Friedländer,SUI,1950,SUI-1950-927eba0f,0,PE/CA,LW/ST,False,75,74,70,68,74,52,62,43,template
gerhard-lusenti,Lusenti,SUI,1950,SUI-1950-927eba0f,0,CA,ST,False,73,71,73,65,69,47,70,41,template
walter-schneiter,Schneiter,SUI,1950,SUI-1950-927eba0f,0,CA/PD,ST/RW,False,72,70,72,64,69,46,69,40,template
walter-beerli,Beerli,SUI,1950,SUI-1950-927eba0f,0,PD/CA,RW/ST,False,70,70,66,65,70,51,60,40,template
hans-siegenthaler,Siegenthaler,SUI,1950,SUI-1950-927eba0f,0,CA,ST,False,70,68,70,63,67,46,68,40,template
kalle-svensson,K. Svensson,SWE,1950,SWE-1950-1b6b9bda,0,GOL,GK,True,82,48,48,48,48,48,74,82,GK
torsten-lindberg,Lindberg,SWE,1950,SWE-1950-1b6b9bda,0,GOL,GK,False,75,48,48,48,48,48,67,75,GK
tore-svensson,T. Svensson,SWE,1950,SWE-1950-1b6b9bda,0,GOL,GK,False,70,48,48,48,48,48,62,70,GK
erik-nilsson,E. Nilsson,SWE,1950,SWE-1950-1b6b9bda,0,LE/ZAG,LB/CB,True,83,80,57,74,72,77,70,51,template
knut-nordahl,K. Nordahl,SWE,1950,SWE-1950-1b6b9bda,0,VOL/ZAG,DM/CB,False,80,68,56,76,66,79,74,48,template
gunnar-johansson,G. Johansson,SWE,1950,SWE-1950-1b6b9bda,0,ZAG/LD,CB/RB,False,72,66,48,64,56,72,71,40,template
lennart-samuelsson,Samuelsson,SWE,1950,SWE-1950-1b6b9bda,0,ZAG/LD,CB/RB,False,73,66,48,64,57,73,72,41,template
arne-mansson,Månsson,SWE,1950,SWE-1950-1b6b9bda,0,ZAG/LE,CB/LB,False,73,66,48,64,57,73,72,41,template
sune-andersson,S. Andersson,SWE,1950,SWE-1950-1b6b9bda,0,MD/MC/MEI,RM/CM/AM,False,84,80,68,76,80,65,68,52,template
olle-ahlund,Åhlund,SWE,1950,SWE-1950-1b6b9bda,0,VOL/MC/MEI/MD,DM/CM/AM/RM,False,80,68,56,76,66,79,74,48,template
ingvar-gard,Gärd,SWE,1950,SWE-1950-1b6b9bda,0,VOL/MC/MEI/MD,DM/CM/AM/RM,False,73,64,54,70,62,72,69,41,template
hasse-jeppson,Jeppson,SWE,1950,SWE-1950-1b6b9bda,0,CA,ST,True,85,80,84,72,78,48,79,53,template
karl-erik-palmer,Palmér,SWE,1950,SWE-1950-1b6b9bda,0,CA/PE,ST/LW,False,84,80,83,71,77,48,78,52,template
stellan-nilsson,S. Nilsson,SWE,1950,SWE-1950-1b6b9bda,0,PD/CA,RW/ST,False,79,78,73,70,78,54,64,47,template
stig-sundqvist,Sundqvist,SWE,1950,SWE-1950-1b6b9bda,0,PE/CA,LW/ST,False,77,76,71,69,76,53,63,45,template
egon-jonsson,E. Jönsson,SWE,1950,SWE-1950-1b6b9bda,0,PD/CA,RW/ST,False,76,75,71,68,75,53,63,44,template
lennart-skoglund,Skoglund,SWE,1950,SWE-1950-1b6b9bda,0,PE/MEI,LW/AM,True,84,83,76,73,83,55,66,52,template
ingvar-rydell,Rydell,SWE,1950,SWE-1950-1b6b9bda,0,CA,ST,False,74,72,74,65,70,47,71,42,template
borje-tapper,Tapper,SWE,1950,SWE-1950-1b6b9bda,0,PD/CA,RW/ST,False,74,73,69,67,73,52,62,42,template
bror-mellberg,Mellberg,SWE,1950,SWE-1950-1b6b9bda,0,CA/PE,ST/LW,False,72,70,72,64,69,46,69,40,template
kurt-svensson,Ku. Svensson,SWE,1950,SWE-1950-1b6b9bda,0,CA/PD,ST/RW,False,70,68,70,63,67,46,68,40,template
roque-maspoli,Máspoli,URU,1950,URU-1950-e944d999,1,GOL,GK,True,84,48,48,48,48,48,76,84,GK
anibal-paz,Paz,URU,1950,URU-1950-e944d999,0,GOL,GK,False,75,48,48,48,48,48,67,75,GK
matias-gonzalez,M. González,URU,1950,URU-1950-e944d999,2,ZAG/LD,CB/RB,False,80,70,50,68,59,80,78,48,template
eusebio-tejera,Tejera,URU,1950,URU-1950-e944d999,3,LE/ZAG,LB/CB,False,80,78,56,72,70,75,68,48,template
schubert-gambetta,Gambetta,URU,1950,URU-1950-e944d999,4,ZAG,CB,False,78,69,49,67,58,78,77,46,template
juan-carlos-gonzalez,J. C. González,URU,1950,URU-1950-e944d999,0,VOL/ZAG/MD,DM/CB/RM,False,77,67,55,73,64,76,72,45,template
